Date,^NDX
2001-06-28,1808.93994140625
2001-06-29,1830.18994140625
2001-07-02,1830.18994140625
2001-07-03,1822.1600341796875
2001-07-05,1751.0
2001-07-06,1668.5899658203125
2001-07-09,1697.050048828125
2001-07-10,1624.949951171875
2001-07-11,1641.56005859375
2001-07-12,1750.1300048828125
2001-07-13,1751.1099853515625
2001-07-16,1685.739990234375
2001-07-17,1729.550048828125
2001-07-18,1666.8699951171875
2001-07-19,1695.8900146484375
2001-07-20,1676.4599609375
2001-07-23,1629.9300537109375
2001-07-24,1604.8599853515625
2001-07-25,1627.8599853515625
2001-07-26,1673.3900146484375
2001-07-27,1683.1800537109375
2001-07-30,1670.030029296875
2001-07-31,1683.6099853515625
2001-08-01,1729.530029296875
2001-08-02,1751.449951171875
2001-08-03,1725.9000244140625
2001-08-06,1702.8399658203125
2001-08-07,1696.3699951171875
2001-08-08,1626.199951171875
2001-08-09,1628.9200439453125
2001-08-10,1617.449951171875
2001-08-13,1653.27001953125
2001-08-14,1629.949951171875
2001-08-15,1572.030029296875
2001-08-16,1581.97998046875
2001-08-17,1516.5799560546875
2001-08-20,1535.989990234375
2001-08-21,1480.739990234375
2001-08-22,1515.4100341796875
2001-08-23,1496.97998046875
2001-08-24,1579.6199951171875
2001-08-27,1578.3299560546875
2001-08-28,1526.300048828125
2001-08-29,1499.760009765625
2001-08-30,1453.9000244140625
2001-08-31,1469.699951171875
2001-09-04,1424.1199951171875
2001-09-05,1415.300048828125
2001-09-06,1361.68994140625
2001-09-07,1354.27001953125
2001-09-10,1365.3900146484375
2001-09-17,1252.699951171875
2001-09-18,1224.6400146484375
2001-09-19,1208.22998046875
2001-09-20,1166.27001953125
2001-09-21,1126.949951171875
2001-09-24,1191.02001953125
2001-09-25,1187.77001953125
2001-09-26,1143.47998046875
2001-09-27,1144.27001953125
2001-09-28,1168.3699951171875
2001-10-01,1151.239990234375
2001-10-02,1159.3699951171875
2001-10-03,1249.4100341796875
2001-10-04,1260.6600341796875
2001-10-05,1271.72998046875
2001-10-08,1279.6300048828125
2001-10-09,1244.56005859375
2001-10-10,1304.6800537109375
2001-10-11,1389.8699951171875
2001-10-12,1393.8399658203125
2001-10-15,1378.9200439453125
2001-10-16,1404.81005859375
2001-10-17,1314.800048828125
2001-10-18,1330.3299560546875
2001-10-19,1347.5899658203125
2001-10-22,1383.0699462890625
2001-10-23,1384.06005859375
2001-10-24,1424.68994140625
2001-10-25,1479.050048828125
2001-10-26,1454.9000244140625
2001-10-29,1374.5799560546875
2001-10-30,1342.260009765625
2001-10-31,1364.780029296875
2001-11-01,1424.1500244140625
2001-11-02,1425.780029296875
2001-11-05,1480.2099609375
2001-11-06,1523.0899658203125
2001-11-07,1524.6700439453125
2001-11-08,1510.5999755859375
2001-11-09,1514.9599609375
2001-11-12,1528.75
2001-11-13,1580.760009765625
2001-11-14,1585.8900146484375
2001-11-15,1582.5799560546875
2001-11-16,1582.1400146484375
2001-11-19,1617.5799560546875
2001-11-20,1549.699951171875
2001-11-21,1552.010009765625
2001-11-23,1577.469970703125
2001-11-26,1619.6500244140625
2001-11-27,1609.8699951171875
2001-11-28,1557.030029296875
2001-11-29,1599.300048828125
2001-11-30,1596.050048828125
2001-12-03,1567.5400390625
2001-12-04,1634.27001953125
2001-12-05,1720.9100341796875
2001-12-06,1717.969970703125
2001-12-07,1673.9000244140625
2001-12-10,1645.3599853515625
2001-12-11,1661.27001953125
2001-12-12,1669.949951171875
2001-12-13,1601.9100341796875
2001-12-14,1605.6700439453125
2001-12-17,1640.3399658203125
2001-12-18,1657.6800537109375
2001-12-19,1628.68994140625
2001-12-20,1557.3599853515625
2001-12-21,1578.27001953125
2001-12-24,1577.31005859375
2001-12-26,1590.8399658203125
2001-12-27,1606.47998046875
2001-12-28,1621.1300048828125
2001-12-31,1577.050048828125
2002-01-02,1610.3900146484375
2002-01-03,1666.6600341796875
2002-01-04,1675.030029296875
2002-01-07,1649.8299560546875
2002-01-08,1666.5799560546875
2002-01-09,1653.760009765625
2002-01-10,1656.6800537109375
2002-01-11,1634.1700439453125
2002-01-14,1603.760009765625
2002-01-15,1612.4599609375
2002-01-16,1558.97998046875
2002-01-17,1602.3199462890625
2002-01-18,1548.219970703125
2002-01-22,1501.780029296875
2002-01-23,1549.2099609375
2002-01-24,1565.1300048828125
2002-01-25,1558.260009765625
2002-01-28,1564.8599853515625
2002-01-29,1519.3299560546875
2002-01-30,1538.93994140625
2002-01-31,1550.1700439453125
2002-02-01,1528.1500244140625
2002-02-04,1479.1700439453125
2002-02-05,1462.8599853515625
2002-02-06,1445.9599609375
2002-02-07,1413.8599853515625
2002-02-08,1452.1700439453125
2002-02-11,1477.6400146484375
2002-02-12,1464.760009765625
2002-02-13,1486.75
2002-02-14,1474.7099609375
2002-02-15,1436.699951171875
2002-02-19,1387.27001953125
2002-02-20,1408.260009765625
2002-02-21,1348.25
2002-02-22,1356.1600341796875
2002-02-25,1407.989990234375
2002-02-26,1401.18994140625
2002-02-27,1378.47998046875
2002-02-28,1359.219970703125
2002-03-01,1435.4100341796875
2002-03-04,1494.699951171875
2002-03-05,1498.949951171875
2002-03-06,1519.949951171875
2002-03-07,1506.81005859375
2002-03-08,1555.1099853515625
2002-03-11,1553.800048828125
2002-03-12,1520.5400390625
2002-03-13,1486.27001953125
2002-03-14,1477.18994140625
2002-03-15,1495.4100341796875
2002-03-18,1505.8900146484375
2002-03-19,1504.6700439453125
